DEF_File,NumInstances,NumMacros,NumNets,NumValidPins,NumMissingPins,NumMovableInstances,NumFixedInstances,DieWidth,DieHeight,PinDensity,CellDensity,MacroDensity,AvgNetDegree,RentsExponent,NetSkewness,HPWL,TotalWirelength
4559-RISCY-FPU-a-1-c20-u0.8-m1-p4-f1.def,65530,210,68639,211616,61692,65527,3,1155840,1153200,0.1588,0.0603,0.077,3.98,0.0472,30.1356,1566449362,1.57E+11
4582-RISCY-FPU-a-1-c20-u0.85-m1-p3-f1.def,65510,212,68749,211533,61982,65507,3,1125600,1121700,0.1675,0.0636,0.0813,3.98,0.0472,30.2888,1621714007,1.50E+11
4007-RISCY-FPU-a-1-c2-u0.9-m4-p8-f0.def,70525,389,75283,221399,66598,70522,3,1111320,1107000,0.18,0.0694,0.0835,3.83,0.0463,33.1378,2058000685,1.45E+11
3916-RISCY-FPU-a-1-c2-u0.75-m2-p1-f0.def,68254,420,79239,213786,83728,68251,3,1205400,1201500,0.1476,0.0608,0.0733,3.75,0.0466,37.9885,1430515740,1.18E+11
4479-RISCY-FPU-a-1-c20-u0.85-m2-p2-f0.def,65503,241,69048,211561,62557,65500,3,1125600,1121700,0.1676,0.0637,0.0815,3.97,0.0472,31.038,1946904003,1.34E+11
3975-RISCY-FPU-a-1-c2-u0.85-m2-p6-f0.def,70271,424,76161,221210,68529,70268,3,1139040,1136400,0.1709,0.0667,0.0798,3.8,0.0465,34.9528,1886692561,1.25E+11
3938-RISCY-FPU-a-1-c2-u0.8-m1-p3-f0.def,68375,437,79489,214529,83098,68372,3,1170120,1167900,0.157,0.065,0.0775,3.74,0.0466,39.4505,1604153470,1.18E+11
4509-RISCY-FPU-a-1-c20-u0.9-m4-p8-f0.def,65575,225,68715,211693,61770,65572,3,1096200,1094400,0.1765,0.067,0.0855,3.98,0.0472,30.3121,1936126243,1.58E+11
4414-RISCY-FPU-a-1-c20-u0.75-m1-p5-f0.def,65524,210,68666,211573,61777,65521,3,1190280,1186800,0.1498,0.0569,0.0726,3.98,0.0471,29.8332,1336902804,1.62E+11
4120-RISCY-FPU-a-1-c2-u0.9-m3-p2-f1.def,68247,496,79761,216519,81246,68244,3,1111320,1107000,0.176,0.0732,0.0855,3.73,0.0466,40.1777,1904267504,1.22E+11
4217-RISCY-FPU-a-1-c5-u0.8-m4-p7-f0.def,67198,292,71326,214270,63798,67195,3,1159620,1157400,0.1596,0.0611,0.0765,3.9,0.0468,32.1101,1397699783,1.69E+11
4297-RISCY-FPU-a-1-c5-u0.75-m2-p2-f1.def,67067,311,71813,214002,65067,67064,3,1194060,1191000,0.1505,0.0578,0.0724,3.89,0.0468,33.8626,1544040110,1.67E+11
4061-RISCY-FPU-a-1-c2-u0.8-m1-p7-f1.def,67992,446,79782,212390,86068,67989,3,1170120,1167900,0.1554,0.0643,0.0775,3.74,0.0465,38.2762,1407498279,1.14E+11
4205-RISCY-FPU-a-1-c5-u0.8-m3-p2-f0.def,65296,483,73583,209538,73400,65293,3,1160325,1157400,0.156,0.0622,0.0781,3.85,0.0471,37.4028,5264505023,1.38E+11
4389-RISCY-FPU-a-1-c20-u0.7-m2-p2-f0.def,65527,211,68653,211572,61749,65524,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,30.0007,1438758848,1.71E+11
4211-RISCY-FPU-a-1-c5-u0.8-m4-p1-f0.def,67116,307,71508,214087,64410,67113,3,1159620,1157400,0.1595,0.0612,0.0766,3.89,0.0468,32.4947,1447010236,1.61E+11
3950-RISCY-FPU-a-1-c2-u0.8-m3-p1-f0.def,67846,435,80331,213495,86068,67843,3,1170120,1167900,0.1562,0.0639,0.0768,3.73,0.0465,38.9155,1944262118,1.51E+11
4420-RISCY-FPU-a-1-c20-u0.75-m2-p3-f0.def,65514,211,68608,211557,61678,65511,3,1190280,1186800,0.1498,0.0569,0.0726,3.98,0.0472,30.3719,1377317917,1.58E+11
4199-RISCY-FPU-a-1-c5-u0.8-m2-p3-f0.def,65807,336,72938,210593,71267,65804,3,1160325,1157400,0.1568,0.0606,0.0768,3.86,0.0469,34.8949,2007053051,1.34E+11
4485-RISCY-FPU-a-1-c20-u0.85-m3-p4-f0.def,65530,246,69311,211589,63052,65527,3,1125600,1121700,0.1676,0.0636,0.0813,3.96,0.0472,31.3272,1656735822,1.55E+11
4337-RISCY-FPU-a-1-c5-u0.85-m1-p3-f1.def,67012,304,71551,213831,64750,67009,3,1128960,1125900,0.1682,0.0646,0.0809,3.89,0.0468,32.6226,1630344178,1.42E+11
3969-RISCY-FPU-a-1-c2-u0.85-m1-p6-f0.def,68527,489,79113,217116,79374,68524,3,1139040,1136400,0.1677,0.0684,0.0808,3.75,0.0466,39.0768,1576413752,1.13E+11
4178-RISCY-FPU-a-1-c5-u0.75-m3-p6-f0.def,67046,326,71551,213929,64616,67043,3,1194750,1191000,0.1503,0.0579,0.0723,3.89,0.0468,32.9222,1463191132,1.59E+11
4047-RISCY-FPU-a-1-c2-u0.75-m3-p1-f1.def,65098,584,87518,206951,108645,65095,3,1205400,1201500,0.1429,0.0657,0.0753,3.61,0.0463,47.0234,1481524239,1.12E+11
4317-RISCY-FPU-a-1-c5-u0.8-m1-p6-f1.def,66957,334,71556,213743,64885,66954,3,1159620,1157400,0.1593,0.0615,0.0768,3.89,0.0468,32.3925,1437851137,1.49E+11
4126-RISCY-FPU-a-1-c2-u0.9-m3-p8-f1.def,68705,428,78607,216356,79130,68702,3,1111320,1107000,0.1759,0.0723,0.0853,3.76,0.0465,37.5691,1610749318,1.46E+11
4464-RISCY-FPU-a-1-c20-u0.8-m4-p2-f0.def,65514,209,68655,211558,61765,65511,3,1155840,1153200,0.1587,0.0603,0.077,3.98,0.0472,29.962,1432649395,1.78E+11
4480-RISCY-FPU-a-1-c20-u0.85-m2-p3-f0.def,65458,280,69654,211434,63896,65455,3,1125600,1121700,0.1675,0.0637,0.0818,3.95,0.0471,31.3835,2375483857,1.44E+11
4403-RISCY-FPU-a-1-c20-u0.7-m4-p1-f0.def,65537,214,68816,211629,62025,65534,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,30.7722,1487254759,1.84E+11
4012-RISCY-FPU-a-1-c2-u0.7-m1-p5-f1.def,67120,437,82776,209154,96361,67117,3,1243620,1239300,0.1357,0.0584,0.0711,3.69,0.0466,41.6603,1494809028,1.17E+11
4536-RISCY-FPU-a-1-c20-u0.75-m1-p4-f1.def,65502,211,68708,211530,61907,65499,3,1190280,1186800,0.1497,0.0569,0.0727,3.98,0.0472,30.4072,1517015964,1.75E+11
4513-RISCY-FPU-a-1-c20-u0.7-m1-p4-f1.def,65525,218,68768,211549,62002,65522,3,1227240,1224600,0.1408,0.0535,0.0683,3.98,0.0472,30.9935,1548232306,1.64E+11
3956-RISCY-FPU-a-1-c2-u0.8-m4-p1-f0.def,66729,542,82380,211789,92422,66726,3,1170120,1167900,0.155,0.0662,0.0773,3.69,0.0466,42.6594,1630389322,1.32E+11
4099-RISCY-FPU-a-1-c2-u0.85-m3-p5-f1.def,68230,460,80027,214973,83533,68227,3,1139040,1136400,0.1661,0.0695,0.0814,3.73,0.0467,40.6327,1510219277,1.20E+11
4590-RISCY-FPU-a-1-c20-u0.85-m2-p3-f1.def,65539,211,68761,211613,61938,65536,3,1125600,1121700,0.1676,0.0637,0.0813,3.98,0.0471,30.0274,1557963565,1.68E+11
4073-RISCY-FPU-a-1-c2-u0.8-m3-p3-f1.def,67100,521,84376,211582,96770,67097,3,1170120,1167900,0.1548,0.0703,0.0787,3.65,0.0464,43.8054,1544192787,1.29E+11
4378-RISCY-FPU-a-1-c5-u0.9-m3-p4-f1.def,66640,374,72183,212907,67088,66637,3,1099560,1098600,0.1763,0.0687,0.0856,3.88,0.0468,33.1902,1648170851,1.46E+11
4580-RISCY-FPU-a-1-c20-u0.85-m1-p1-f1.def,65503,210,68713,211519,61918,65500,3,1125600,1121700,0.1675,0.0637,0.0813,3.98,0.0471,30.0089,1533791301,1.48E+11
4015-RISCY-FPU-a-1-c2-u0.7-m1-p8-f1.def,67047,429,82756,208417,96854,67044,3,1243620,1239300,0.1352,0.0583,0.0719,3.69,0.0465,40.9018,1500059214,1.20E+11
4018-RISCY-FPU-a-1-c2-u0.7-m2-p3-f1.def,65024,544,89536,202762,117081,65021,3,1243620,1239300,0.1316,0.0608,0.0721,3.57,0.0462,48.6207,1459988407,1.00E+11
3914-RISCY-FPU-a-1-c2-u0.75-m1-p7-f0.def,68857,419,78554,216061,79928,68854,3,1205400,1201500,0.1492,0.0613,0.0733,3.77,0.0465,36.3427,1387357207,1.41E+11
4558-RISCY-FPU-a-1-c20-u0.8-m1-p3-f1.def,65538,207,68687,211611,61786,65535,3,1155840,1153200,0.1588,0.0603,0.077,3.98,0.0472,30.1212,1549749441,1.58E+11
4279-RISCY-FPU-a-1-c5-u0.7-m2-p8-f1.def,66947,335,71884,213728,65526,66944,3,1231440,1228800,0.1412,0.0546,0.0683,3.88,0.0469,34.4044,1546793152,1.65E+11
4394-RISCY-FPU-a-1-c20-u0.7-m2-p7-f0.def,65512,213,68696,211538,61866,65509,3,1227240,1224600,0.1408,0.0535,0.0682,3.98,0.0471,29.8394,1456093521,1.79E+11
4467-RISCY-FPU-a-1-c20-u0.8-m4-p5-f0.def,65516,218,68643,211542,61761,65513,3,1155840,1153200,0.1587,0.0603,0.0769,3.98,0.0471,29.8571,1389628484,1.76E+11
3961-RISCY-FPU-a-1-c2-u0.8-m4-p6-f0.def,67246,539,81563,213111,89085,67243,3,1170120,1167900,0.1559,0.0665,0.0772,3.71,0.0466,42.4624,1440047633,1.17E+11
4594-RISCY-FPU-a-1-c20-u0.85-m2-p8-f1.def,65492,216,68736,211514,61977,65489,3,1125600,1121700,0.1675,0.0637,0.0813,3.98,0.0472,30.8129,1474403494,1.54E+11
4051-RISCY-FPU-a-1-c2-u0.75-m3-p5-f1.def,66951,550,84380,210364,97679,66948,3,1205400,1201500,0.1453,0.0657,0.0741,3.65,0.0464,45.0317,1462927873,1.09E+11
4102-RISCY-FPU-a-1-c2-u0.85-m3-p8-f1.def,68217,467,79844,214660,83278,68214,3,1139040,1136400,0.1658,0.0695,0.0813,3.73,0.0467,40.9843,1515039833,1.20E+11
4501-RISCY-FPU-a-1-c20-u0.9-m1-p8-f0.def,65477,219,68717,211458,61979,65474,3,1096200,1094400,0.1763,0.067,0.0855,3.98,0.0472,30.353,1398741654,1.41E+11
4080-RISCY-FPU-a-1-c2-u0.85-m1-p2-f1.def,67725,499,80290,214467,84577,67722,3,1139040,1136400,0.1657,0.07,0.0822,3.72,0.0467,41.0905,2148773831,1.12E+11
4565-RISCY-FPU-a-1-c20-u0.8-m2-p2-f1.def,65519,212,68745,211575,61932,65516,3,1155840,1153200,0.1587,0.0603,0.077,3.98,0.0472,30.2608,1523886785,1.83E+11
4278-RISCY-FPU-a-1-c5-u0.7-m2-p7-f1.def,66975,325,71680,213827,64980,66972,3,1231440,1228800,0.1413,0.0545,0.068,3.89,0.0469,34.1414,1590783337,1.66E+11
4499-RISCY-FPU-a-1-c20-u0.9-m1-p6-f0.def,65458,212,68593,211453,61736,65455,3,1096200,1094400,0.1763,0.067,0.0855,3.98,0.0472,29.7729,1293666222,1.51E+11
